Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Capan-1_ATAC-seq_1_1	67.15697901195796	47.0	150.0	30.0	83193633.0
Capan-1_ATAC-seq_1_2	65.81230761903107	47.0	150.0	30.0	83193633.0
Capan-1_ATAC-seq_2_1	68.76855486252495	47.0	150.0	30.0	71848689.0
Capan-1_ATAC-seq_2_2	67.5536217701767	48.0	150.0	30.0	71848689.0
HPNE_ATAC-seq_1_1	66.91115408383357	48.0	150.0	30.0	88045028.0
HPNE_ATAC-seq_1_2	65.36633439301161	48.0	150.0	30.0	88045028.0
HPNE_ATAC-seq_2_1	65.0897921565186	49.0	150.0	30.0	92241793.0
HPNE_ATAC-seq_2_2	62.7041114389033	48.0	150.0	30.0	92241793.0
PANC-1_ATAC-seq_1_1	30.566032584333655	50.0	150.0	20.0	85533182.0
PANC-1_ATAC-seq_1_2	27.740966293935273	50.0	150.0	20.0	85533182.0
PANC-1_ATAC-seq_2_1	29.00949649563563	51.0	150.0	20.0	81860541.0
PANC-1_ATAC-seq_2_2	27.480134748273883	51.0	150.0	20.0	81860541.0
