Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Capan-1_ATAC-seq_1_1	65.18614251854004	46.0	102.64152353848412	10.0	82528063.0
Capan-1_ATAC-seq_1_2	64.28207538102436	46.0	101.00008892732646	10.0	82528063.0
Capan-1_ATAC-seq_2_1	66.89121960444432	47.0	98.31875404825733	10.0	71540042.0
Capan-1_ATAC-seq_2_2	65.81168893656601	47.0	97.16441160322495	10.0	71540042.0
HPNE_ATAC-seq_1_1	64.35921072010629	47.0	104.17502654782143	10.0	87399827.0
HPNE_ATAC-seq_1_2	63.317041803524184	47.0	102.53680187490531	10.0	87399827.0
HPNE_ATAC-seq_2_1	62.28384912709113	48.0	105.9358714275931	10.0	91555570.0
HPNE_ATAC-seq_2_2	60.308847161816594	48.0	104.01680151191238	10.0	91555570.0
PANC-1_ATAC-seq_1_1	26.087287518661697	50.0	123.90428111957347	10.0	84357840.0
PANC-1_ATAC-seq_1_2	23.89279372629541	50.0	119.34193178725297	10.0	84357840.0
PANC-1_ATAC-seq_2_1	24.589218439991072	51.0	126.03697705379186	10.0	80758354.0
PANC-1_ATAC-seq_2_2	23.700217920806452	51.0	121.53469307955434	10.0	80758354.0
