Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed
Capan-1_CTCF_ChIP-seq_1	0.003179982	0.0	39425049.0	99.64260888061341	94.68163638411285	5.396993352146576	39566456.0		
Capan-1_CTCF_ChIP-seq_1-filtered								34959668	34959668
Capan-1_CTCF_ChIP-seq_2	0.003584247	0.0	40740821.0	99.54742994924503	95.73789206089815	6.017765217450797	40926040.0		
Capan-1_CTCF_ChIP-seq_2-filtered								36174504	36174504
Capan-1_H3K27ac_ChIP-seq_1	0.003291175	0.0	61109571.0	99.49254214233125	98.12436925339432	4.153387740772096	61421258.0		
Capan-1_H3K27ac_ChIP-seq_1-filtered								57032835	57032835
Capan-1_H3K27ac_ChIP-seq_2	0.003284297	0.0	60065213.0	99.48435107514601	98.60291109077062	4.030500652703805	60376544.0		
Capan-1_H3K27ac_ChIP-seq_2-filtered								56412508	56412508
Capan-1_input	0.003656524	0.0	56495330.0	99.63729731260757	94.07938690872149	6.123092815352452	56700986.0		
Capan-1_input-filtered								49236053	49236053
HPNE_CTCF_ChIP-seq_1	0.003265135	0.0	36663052.0	99.62881166689421	98.57205155875404	5.271650967965781	36799648.0		
HPNE_CTCF_ChIP-seq_1-filtered								33793289	33793289
HPNE_CTCF_ChIP-seq_2	0.003274885	0.0	39953435.0	99.5835820008642	96.49228733517405	5.447234660860691	40120504.0		
HPNE_CTCF_ChIP-seq_2-filtered								36028013	36028013
HPNE_H3K27ac_ChIP-seq_1	0.002894158	0.0	52808970.0	99.68805957645284	97.77689969864208	3.626837870452378	52974218.0		
HPNE_H3K27ac_ChIP-seq_1-filtered								49413376	49413376
HPNE_H3K27ac_ChIP-seq_2	0.002984421	0.0	51650658.0	99.66736801497434	98.12698360138593	3.606961444444843	51823038.0		
HPNE_H3K27ac_ChIP-seq_2-filtered								48510393	48510393
HPNE_input	0.003484166	0.0	89149802.0	99.49808656328203	95.92593102681339	5.850882182240408	89599514.0		
HPNE_input-filtered								79491364	79491364
PANC-1_CTCF_ChIP-seq_1	0.003024023	0.0	35661473.0	99.6739265567105	97.4670452367893	4.81573718653202	35778136.0		
PANC-1_CTCF_ChIP-seq_1-filtered								32748885	32748885
PANC-1_CTCF_ChIP-seq_2	0.003501261	0.0	71953566.0	99.43341653450301	96.99016214872552	5.162790070351149	72363566.0		
PANC-1_CTCF_ChIP-seq_2-filtered								65545747	65545747
PANC-1_H3K27ac_ChIP-seq_1	0.003274943	0.0	60306612.0	99.47137174818708	96.35201114009998	4.224082680907866	60627104.0		
PANC-1_H3K27ac_ChIP-seq_1-filtered								55278509	55278509
PANC-1_H3K27ac_ChIP-seq_2	0.002799392	0.0	54434821.0	99.66922379290442	97.37398608409089	3.5368161947357195	54615476.0		
PANC-1_H3K27ac_ChIP-seq_2-filtered								50807530	50807530
PANC-1_input	0.003350663	0.0	96461122.0	99.5948274315119	96.36611136571086	5.468742466073468	96853546.0		
PANC-1_input-filtered								86765437	86765437
