Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
Capan-1_CTCF_ChIP-seq_1-filtered	34959668	0	0	0	26	0	0	0	34959668	0	100.0	nan	34959642	0	17480671	0	17478971	0	34959642	0	100.0	nan	34959642	0	0	0	0.0	nan	0	0	0	0	34959668
Capan-1_CTCF_ChIP-seq_2-filtered	36174504	0	0	0	26	0	0	0	36174504	0	100.0	nan	36174478	0	18088288	0	18086190	0	36174478	0	100.0	nan	36174478	0	0	0	0.0	nan	0	0	0	0	36174504
Capan-1_H3K27ac_ChIP-seq_1-filtered	57032835	0	0	0	45	0	0	0	57032835	0	100.0	nan	57032790	0	28518635	0	28514155	0	57032790	0	100.0	nan	57032790	0	0	0	0.0	nan	0	0	0	0	57032835
Capan-1_H3K27ac_ChIP-seq_2-filtered	56412508	0	0	0	60	0	0	0	56412508	0	100.0	nan	56412448	0	28208822	0	28203626	0	56412448	0	100.0	nan	56412448	0	0	0	0.0	nan	0	0	0	0	56412508
Capan-1_input-filtered	49236053	0	0	0	37	0	0	0	49236053	0	100.0	nan	49236016	0	24619688	0	24616328	0	49236016	0	100.0	nan	49236016	0	0	0	0.0	nan	0	0	0	0	49236053
HPNE_CTCF_ChIP-seq_1-filtered	33793289	0	0	0	33	0	0	0	33793289	0	100.0	nan	33793256	0	16897405	0	16895851	0	33793256	0	100.0	nan	33793256	0	0	0	0.0	nan	0	0	0	0	33793289
HPNE_CTCF_ChIP-seq_2-filtered	36028013	0	0	0	42	0	0	0	36028013	0	100.0	nan	36027971	0	18014816	0	18013155	0	36027971	0	100.0	nan	36027971	0	0	0	0.0	nan	0	0	0	0	36028013
HPNE_H3K27ac_ChIP-seq_1-filtered	49413376	0	0	0	55	0	0	0	49413376	0	100.0	nan	49413321	0	24707793	0	24705528	0	49413321	0	100.0	nan	49413321	0	0	0	0.0	nan	0	0	0	0	49413376
HPNE_H3K27ac_ChIP-seq_2-filtered	48510393	0	0	0	49	0	0	0	48510393	0	100.0	nan	48510344	0	24256356	0	24253988	0	48510344	0	100.0	nan	48510344	0	0	0	0.0	nan	0	0	0	0	48510393
HPNE_input-filtered	79491364	0	0	0	53	0	0	0	79491364	0	100.0	nan	79491311	0	39747736	0	39743575	0	79491311	0	100.0	nan	79491311	0	0	0	0.0	nan	0	0	0	0	79491364
PANC-1_CTCF_ChIP-seq_1-filtered	32748885	0	0	0	34	0	0	0	32748885	0	100.0	nan	32748851	0	16375357	0	16373494	0	32748851	0	100.0	nan	32748851	0	0	0	0.0	nan	0	0	0	0	32748885
PANC-1_CTCF_ChIP-seq_2-filtered	65545747	0	0	0	49	0	0	0	65545747	0	100.0	nan	65545698	0	32775019	0	32770679	0	65545698	0	100.0	nan	65545698	0	0	0	0.0	nan	0	0	0	0	65545747
PANC-1_H3K27ac_ChIP-seq_1-filtered	55278509	0	0	0	56	0	0	0	55278509	0	100.0	nan	55278453	0	27640900	0	27637553	0	55278453	0	100.0	nan	55278453	0	0	0	0.0	nan	0	0	0	0	55278509
PANC-1_H3K27ac_ChIP-seq_2-filtered	50807530	0	0	0	44	0	0	0	50807530	0	100.0	nan	50807486	0	25404983	0	25402503	0	50807486	0	100.0	nan	50807486	0	0	0	0.0	nan	0	0	0	0	50807530
PANC-1_input-filtered	86765437	0	0	0	60	0	0	0	86765437	0	100.0	nan	86765377	0	43384558	0	43380819	0	86765377	0	100.0	nan	86765377	0	0	0	0.0	nan	0	0	0	0	86765437
