Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	total_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	maximum_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
Capan-1_CTCF_ChIP-seq_1	39566456.0	0.0	39566456.0	1.0	19783228.0	19783228.0	39425049.0	39356594.0	141407.0	37462168.0	39566456.0	0.0	2135399.0	0.0	0.0	1970773941.0	1964473680.0	1957775464.0	0.0	0.0	6225691.0	0.003179982	49.0	50.0	39.6	173.3	60.2	19475788.0	25803.0	15788.0	155761.0	99.64260888061341	99.4695961649939	0.3573911193865834	94.68163638411285	100.0	0.0	5.396993352146576	0.0
Capan-1_CTCF_ChIP-seq_2	40926040.0	0.0	40926040.0	1.0	20463020.0	20463020.0	40740821.0	40661546.0	185219.0	39181728.0	40926040.0	0.0	2462833.0	0.0	0.0	2037569891.0	2029178419.0	2020139351.0	0.0	0.0	7240678.0	0.003584247	49.0	50.0	39.5	182.2	64.3	20136967.0	33546.0	14679.0	140365.0	99.54742994924503	99.35372686925	0.45257005075497164	95.73789206089815	100.0	0.0	6.017765217450797	0.0
Capan-1_H3K27ac_ChIP-seq_1	61421258.0	0.0	61421258.0	1.0	30710629.0	30710629.0	61109571.0	60973642.0	311687.0	60269222.0	61421258.0	0.0	2551063.0	0.0	0.0	3053091948.0	3039508040.0	3029993029.0	0.0	0.0	9972236.0	0.003291175	49.0	50.0	39.3	190.9	77.7	30242984.0	31508.0	21489.0	142956.0	99.49254214233125	99.2712360271097	0.507457857668757	98.12436925339432	100.0	0.0	4.153387740772096	0.0
Capan-1_H3K27ac_ChIP-seq_2	60376544.0	0.0	60376544.0	1.0	30188272.0	30188272.0	60065213.0	59929808.0	311331.0	59533030.0	60376544.0	0.0	2433477.0	0.0	0.0	2999714252.0	2986241840.0	2977124323.0	0.0	0.0	9777761.0	0.003284297	49.0	50.0	39.2	198.4	90.2	29771376.0	29287.0	17519.0	100527.0	99.48435107514601	99.26008351852667	0.5156489248539963	98.60291109077062	100.0	0.0	4.030500652703805	0.0
Capan-1_input	56700986.0	0.0	56700986.0	1.0	28350493.0	28350493.0	56495330.0	56401866.0	205656.0	53343940.0	56700986.0	0.0	3471854.0	0.0	0.0	2825119562.0	2815699173.0	2803004785.0	0.0	0.0	10249255.0	0.003656524	49.0	50.0	39.6	177.7	61.6	27874744.0	50510.0	26451.0	242975.0	99.63729731260757	99.47246067290611	0.36270268739242034	94.07938690872149	100.0	0.0	6.123092815352452	0.0
HPNE_CTCF_ChIP-seq_1	36799648.0	0.0	36799648.0	1.0	18399824.0	18399824.0	36663052.0	36606184.0	136596.0	36274168.0	36799648.0	0.0	1939949.0	0.0	0.0	1831532092.0	1825410843.0	1819423592.0	0.0	0.0	5940664.0	0.003265135	49.0	50.0	39.5	197.3	76.3	18209559.0	22493.0	5073.0	61892.0	99.62881166689421	99.47427758004642	0.3711883331057949	98.57205155875404	100.0	0.0	5.271650967965781	0.0
HPNE_CTCF_ChIP-seq_2	40120504.0	0.0	40120504.0	1.0	20060252.0	20060252.0	39953435.0	39887752.0	167069.0	38713192.0	40120504.0	0.0	2185458.0	0.0	0.0	1997280343.0	1989722221.0	1983222377.0	0.0	0.0	6494826.0	0.003274885	49.0	50.0	39.5	189.0	66.7	19800565.0	25672.0	10744.0	102845.0	99.5835820008642	99.41986770654727	0.4164179991358035	96.49228733517405	100.0	0.0	5.447234660860691	0.0
HPNE_H3K27ac_ChIP-seq_1	52974218.0	0.0	52974218.0	1.0	26487109.0	26487109.0	52808970.0	52746314.0	165248.0	51796548.0	52974218.0	0.0	1921289.0	0.0	0.0	2639742197.0	2632189807.0	2626264653.0	0.0	0.0	7600826.0	0.002894158	49.0	50.0	39.7	183.8	61.7	26254020.0	18427.0	7364.0	89377.0	99.68805957645284	99.56978317263693	0.3119404235471678	97.77689969864208	100.0	0.0	3.626837870452378	0.0
HPNE_H3K27ac_ChIP-seq_2	51823038.0	0.0	51823038.0	1.0	25911519.0	25911519.0	51650658.0	51588064.0	172380.0	50852384.0	51823038.0	0.0	1869237.0	0.0	0.0	2581852748.0	2573951576.0	2568109106.0	0.0	0.0	7664318.0	0.002984421	49.0	50.0	39.6	188.0	64.5	25685822.0	18431.0	6264.0	79175.0	99.66736801497434	99.54658389575695	0.33263198502565594	98.12698360138593	100.0	0.0	3.606961444444843	0.0
HPNE_input	89599514.0	0.0	89599514.0	1.0	44799757.0	44799757.0	89149802.0	88974992.0	449712.0	85949168.0	89599514.0	0.0	5242362.0	0.0	0.0	4459688882.0	4439345148.0	4422219795.0	0.0	0.0	15407747.0	0.003484166	49.0	50.0	39.4	168.3	54.5	44116840.0	60195.0	30329.0	272723.0	99.49808656328203	99.30298505860199	0.5019134367179715	95.92593102681339	100.0	0.0	5.850882182240408	0.0
