Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Capan-1_CTCF_ChIP-seq_1_1	Capan-1_CTCF_ChIP-seq_1_1.fastq	Conventional base calls	Sanger / Illumina 1.9	19905320.0	0.0	50.0	46.0	88.44025866123387	50.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
Capan-1_CTCF_ChIP-seq_1_2	Capan-1_CTCF_ChIP-seq_1_2.fastq	Conventional base calls	Sanger / Illumina 1.9	19905320.0	0.0	50.0	46.0	89.7473390448981	50.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
Capan-1_CTCF_ChIP-seq_2_1	Capan-1_CTCF_ChIP-seq_2_1.fastq	Conventional base calls	Sanger / Illumina 1.9	20617765.0	0.0	50.0	46.0	87.35254879615465	50.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
Capan-1_CTCF_ChIP-seq_2_2	Capan-1_CTCF_ChIP-seq_2_2.fastq	Conventional base calls	Sanger / Illumina 1.9	20617765.0	0.0	50.0	46.0	89.04980664212907	50.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
Capan-1_H3K27ac_ChIP-seq_1_1	Capan-1_H3K27ac_ChIP-seq_1_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31316353.0	0.0	50.0	47.0	84.33034044009247	50.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
Capan-1_H3K27ac_ChIP-seq_1_2	Capan-1_H3K27ac_ChIP-seq_1_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31316353.0	0.0	50.0	47.0	86.17009660437591	50.0	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
Capan-1_H3K27ac_ChIP-seq_2_1	Capan-1_H3K27ac_ChIP-seq_2_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30795449.0	0.0	50.0	47.0	83.69687943668988	50.0	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
Capan-1_H3K27ac_ChIP-seq_2_2	Capan-1_H3K27ac_ChIP-seq_2_2.fastq	Conventional base calls	Sanger / Illumina 1.9	30795449.0	0.0	50.0	47.0	85.53496208659313	50.0	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
Capan-1_input_1	Capan-1_input_1.fastq	Conventional base calls	Sanger / Illumina 1.9	28484069.0	0.0	50.0	44.0	85.64265238407278	50.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
Capan-1_input_2	Capan-1_input_2.fastq	Conventional base calls	Sanger / Illumina 1.9	28484069.0	0.0	50.0	44.0	87.20912326312235	50.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
HPNE_CTCF_ChIP-seq_1_1	HPNE_CTCF_ChIP-seq_1_1.fastq	Conventional base calls	Sanger / Illumina 1.9	18539901.0	0.0	50.0	46.0	87.86149385644781	50.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
HPNE_CTCF_ChIP-seq_1_2	HPNE_CTCF_ChIP-seq_1_2.fastq	Conventional base calls	Sanger / Illumina 1.9	18539901.0	0.0	50.0	46.0	89.22872930582383	50.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
HPNE_CTCF_ChIP-seq_2_1	HPNE_CTCF_ChIP-seq_2_1.fastq	Conventional base calls	Sanger / Illumina 1.9	20202539.0	0.0	50.0	47.0	87.4184982345549	50.0	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
