Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Capan-1_CTCF_ChIP-seq_1_1	11.55974133876613	46.0	50.0	10.0	19905320.0
Capan-1_CTCF_ChIP-seq_1_2	10.252660955101902	46.0	50.0	10.0	19905320.0
Capan-1_CTCF_ChIP-seq_2_1	12.64745120384535	46.0	50.0	10.0	20617765.0
Capan-1_CTCF_ChIP-seq_2_2	10.95019335787093	46.0	50.0	10.0	20617765.0
Capan-1_H3K27ac_ChIP-seq_1_1	15.66965955990753	47.0	50.0	10.0	31316353.0
Capan-1_H3K27ac_ChIP-seq_1_2	13.829903395624086	47.0	50.0	10.0	31316353.0
Capan-1_H3K27ac_ChIP-seq_2_1	16.303120563310117	47.0	50.0	10.0	30795449.0
Capan-1_H3K27ac_ChIP-seq_2_2	14.465037913406874	47.0	50.0	10.0	30795449.0
Capan-1_input_1	14.357347615927225	44.0	50.0	10.0	28484069.0
Capan-1_input_2	12.79087673687765	44.0	50.0	10.0	28484069.0
HPNE_CTCF_ChIP-seq_1_1	12.138506143552192	46.0	50.0	10.0	18539901.0
HPNE_CTCF_ChIP-seq_1_2	10.771270694176167	46.0	50.0	10.0	18539901.0
HPNE_CTCF_ChIP-seq_2_1	12.581501765445097	47.0	50.0	10.0	20202539.0
HPNE_CTCF_ChIP-seq_2_2	10.90068356182924	47.0	50.0	10.0	20202539.0
HPNE_H3K27ac_ChIP-seq_1_1	17.761673275191953	47.0	50.0	20.0	26621191.0
HPNE_H3K27ac_ChIP-seq_1_2	16.49161444460792	47.0	50.0	20.0	26621191.0
HPNE_H3K27ac_ChIP-seq_2_1	19.50775433032696	46.0	50.0	10.0	26043233.0
HPNE_H3K27ac_ChIP-seq_2_2	16.5699313082756	46.0	50.0	10.0	26043233.0
HPNE_input_1	12.61241391228144	44.0	50.0	10.0	45123466.0
HPNE_input_2	11.513544956521883	44.0	50.0	10.0	45123466.0
PANC-1_CTCF_ChIP-seq_1_1	11.53027374509601	45.0	50.0	10.0	18021327.0
PANC-1_CTCF_ChIP-seq_1_2	10.237193458404676	45.0	50.0	10.0	18021327.0
PANC-1_CTCF_ChIP-seq_2_1	12.967784322552362	47.0	50.0	10.0	36679214.0
PANC-1_CTCF_ChIP-seq_2_2	10.42342083034599	47.0	50.0	10.0	36679214.0
PANC-1_H3K27ac_ChIP-seq_1_1	15.043294757940487	46.0	50.0	10.0	30798918.0
PANC-1_H3K27ac_ChIP-seq_1_2	13.557030546694065	46.0	50.0	10.0	30798918.0
PANC-1_H3K27ac_ChIP-seq_2_1	20.791545944943522	48.0	50.0	10.0	27452404.0
PANC-1_H3K27ac_ChIP-seq_2_2	17.85181598055945	47.0	50.0	10.0	27452404.0
PANC-1_input_1	12.606909398751583	44.0	50.0	10.0	48784868.0
PANC-1_input_2	11.281342695810238	44.0	50.0	10.0	48784868.0
