Module	Section	Sample Name	Source
FastQC	all_sections	Capan-1_CTCF_ChIP-seq_1_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/Capan-1_CTCF_ChIP-seq_1_1_fastqc.zip
FastQC	all_sections	Capan-1_CTCF_ChIP-seq_1_2	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/Capan-1_CTCF_ChIP-seq_1_2_fastqc.zip
FastQC	all_sections	Capan-1_CTCF_ChIP-seq_2_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/Capan-1_CTCF_ChIP-seq_2_1_fastqc.zip
FastQC	all_sections	Capan-1_CTCF_ChIP-seq_2_2	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/Capan-1_CTCF_ChIP-seq_2_2_fastqc.zip
FastQC	all_sections	Capan-1_H3K27ac_ChIP-seq_1_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/Capan-1_H3K27ac_ChIP-seq_1_1_fastqc.zip
FastQC	all_sections	Capan-1_H3K27ac_ChIP-seq_1_2	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/Capan-1_H3K27ac_ChIP-seq_1_2_fastqc.zip
FastQC	all_sections	Capan-1_H3K27ac_ChIP-seq_2_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/Capan-1_H3K27ac_ChIP-seq_2_1_fastqc.zip
FastQC	all_sections	Capan-1_H3K27ac_ChIP-seq_2_2	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/Capan-1_H3K27ac_ChIP-seq_2_2_fastqc.zip
FastQC	all_sections	Capan-1_input_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/Capan-1_input_1_fastqc.zip
FastQC	all_sections	Capan-1_input_2	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/Capan-1_input_2_fastqc.zip
FastQC	all_sections	HPNE_CTCF_ChIP-seq_1_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/HPNE_CTCF_ChIP-seq_1_1_fastqc.zip
FastQC	all_sections	HPNE_CTCF_ChIP-seq_1_2	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/HPNE_CTCF_ChIP-seq_1_2_fastqc.zip
FastQC	all_sections	HPNE_CTCF_ChIP-seq_2_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/HPNE_CTCF_ChIP-seq_2_1_fastqc.zip
FastQC	all_sections	HPNE_CTCF_ChIP-seq_2_2	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/HPNE_CTCF_ChIP-seq_2_2_fastqc.zip
FastQC	all_sections	HPNE_H3K27ac_ChIP-seq_1_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/HPNE_H3K27ac_ChIP-seq_1_1_fastqc.zip
FastQC	all_sections	HPNE_H3K27ac_ChIP-seq_1_2	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/HPNE_H3K27ac_ChIP-seq_1_2_fastqc.zip
FastQC	all_sections	HPNE_H3K27ac_ChIP-seq_2_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/HPNE_H3K27ac_ChIP-seq_2_1_fastqc.zip
FastQC	all_sections	HPNE_H3K27ac_ChIP-seq_2_2	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/HPNE_H3K27ac_ChIP-seq_2_2_fastqc.zip
FastQC	all_sections	HPNE_input_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/HPNE_input_1_fastqc.zip
FastQC	all_sections	HPNE_input_2	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/HPNE_input_2_fastqc.zip
FastQC	all_sections	PANC-1_CTCF_ChIP-seq_1_1	/home/sk_ounce/project/QC/Ren_2021/ChIP-seq/Pre-align/PANC-1_CTCF_ChIP-seq_1_1_fastqc.zip
