Sample	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
Capan-1_CTCF_ChIP-seq_1_1	10.828031988985146	46.0	49.88718105053432	10.0	19783228.0
Capan-1_CTCF_ChIP-seq_1_2	9.30974554588154	46.0	49.731240220251216	10.0	19783228.0
Capan-1_CTCF_ChIP-seq_2_1	11.636146718729378	46.0	49.87253640958177	10.0	20463020.0
Capan-1_CTCF_ChIP-seq_2_2	9.867870098349528	46.0	49.70073728120287	10.0	20463020.0
Capan-1_H3K27ac_ChIP-seq_1_1	13.643620082708694	47.0	49.84093168524813	10.0	30710629.0
Capan-1_H3K27ac_ChIP-seq_1_2	11.749068726514622	47.0	49.573897884019246	10.0	30710629.0
Capan-1_H3K27ac_ChIP-seq_2_1	14.279452241064234	47.0	49.83824811171703	10.0	30188272.0
Capan-1_H3K27ac_ChIP-seq_2_2	12.373984970627987	47.0	49.52862694492749	20.0	30188272.0
Capan-1_input_1	13.172837992031134	44.0	49.87653438689761	10.0	28350493.0
Capan-1_input_2	11.535321226366463	44.0	49.77321639521401	10.0	28350493.0
HPNE_CTCF_ChIP-seq_1_1	11.314622688190212	46.0	49.873782107915815	10.0	18399824.0
HPNE_CTCF_ChIP-seq_1_2	9.76295634533723	46.0	49.66695762959472	10.0	18399824.0
HPNE_CTCF_ChIP-seq_2_1	11.666963001267618	47.0	49.87358917525064	10.0	20060252.0
HPNE_CTCF_ChIP-seq_2_2	9.803659497454404	47.0	49.69048125616767	10.0	20060252.0
HPNE_H3K27ac_ChIP-seq_1_1	16.768620100118596	47.0	49.8873644534026	20.0	26487109.0
HPNE_H3K27ac_ChIP-seq_1_2	15.530135357555679	47.0	49.77402920794414	20.0	26487109.0
HPNE_H3K27ac_ChIP-seq_2_1	18.22010190977217	46.0	49.88366262896436	10.0	25911519.0
HPNE_H3K27ac_ChIP-seq_2_2	14.583851220793363	46.0	49.75745636525593	10.0	25911519.0
HPNE_input_1	11.637788749882773	44.0	49.87540164559375	10.0	44799757.0
HPNE_input_2	10.487583166383686	44.0	49.6717651392618	10.0	44799757.0
PANC-1_CTCF_ChIP-seq_1_1	10.7396304151479	45.0	49.87673019075113	10.0	17889068.0
PANC-1_CTCF_ChIP-seq_1_2	9.362123932080962	45.0	49.688159830350024	10.0	17889068.0
PANC-1_CTCF_ChIP-seq_2_1	11.848005213284168	47.0	49.85642600863534	10.0	36181783.0
PANC-1_CTCF_ChIP-seq_2_2	9.49606614436253	47.0	49.485768349227016	10.0	36181783.0
PANC-1_H3K27ac_ChIP-seq_1_1	13.344362655015829	46.0	49.83040987740401	10.0	30313552.0
PANC-1_H3K27ac_ChIP-seq_1_2	11.804535297572087	46.0	49.55145959140651	10.0	30313552.0
PANC-1_H3K27ac_ChIP-seq_2_1	19.2480339008373	48.0	49.882338771523294	10.0	27307738.0
PANC-1_H3K27ac_ChIP-seq_2_2	15.873361913824155	47.0	49.76337725226454	10.0	27307738.0
PANC-1_input_1	11.67119041078304	44.0	49.88182177656149	10.0	48426773.0
PANC-1_input_2	10.21071616112738	44.0	49.661598161826724	10.0	48426773.0
