Sample	capan1-r2.bam
Mapping Rate	0.961436
Unique Rate of Mapped	1
Duplicate Rate of Mapped	0
Duplicate Rate of Mapped, excluding Globins	0
Base Mismatch	0.00248198
End 1 Mapping Rate	0.96995
End 2 Mapping Rate	0.952921
End 1 Mismatch Rate	0.00199047
End 2 Mismatch Rate	0.00298227
Expression Profiling Efficiency	0.755781
High Quality Rate	0
Exonic Rate	0.786097
Intronic Rate	0.112616
Intergenic Rate	0.030589
Intragenic Rate	0.898713
Ambiguous Alignment Rate	0.0706979
High Quality Exonic Rate	-nan
High Quality Intronic Rate	-nan
High Quality Intergenic Rate	-nan
High Quality Intragenic Rate	-nan
High Quality Ambiguous Alignment Rate	-nan
Discard Rate	0
rRNA Rate	0.00877791
Chimeric Alignment Rate	0
End 1 Sense Rate	0.503117
End 2 Sense Rate	0.502421
Avg. Splits per Read	0.512353
Alternative Alignments	1939156
Chimeric Reads	110918
Duplicate Reads	0
End 1 Antisense	9256740
End 2 Antisense	9107887
End 1 Bases	3127408800
End 2 Bases	3072504450
End 1 Mapped Reads	20849392
End 2 Mapped Reads	20483363
End 1 Mismatches	6225028
End 2 Mismatches	9163052
End 1 Sense	9372885
End 2 Sense	9196503
Exonic Reads	32491544
Failed Vendor QC	0
High Quality Reads	0
Intergenic Reads	1264328
Intragenic Reads	37146289
Ambiguous Reads	2922138
Intronic Reads	4654745
Low Mapping Quality	42990666
Low Quality Reads	41332755
Mapped Duplicate Reads	0
Mapped Reads	41332755
Mapped Unique Reads	41332755
Mismatched Bases	15388080
Non-Globin Reads	41332747
Non-Globin Duplicate Reads	0
Reads excluded from exon counts	0
Reads used for Intron/Exon counts	41332755
rRNA Reads	362815
Total Bases	6199913250
Total Mapped Pairs	20191072
Total Reads	44929822
Unique Mapping, Vendor QC Passed Reads	42990666
Unpaired Reads	0
Read Length	150
Genes Detected	0
Estimated Library Complexity	0
Genes used in 3' bias	0
Mean 3' bias	0
Median 3' bias	0
3' bias Std	0
3' bias MAD_Std	0
3' Bias, 25th Percentile	0
3' Bias, 75th Percentile	0
Median of Avg Transcript Coverage	0
Median of Transcript Coverage Std	0
Median of Transcript Coverage CV	0
Median Exon CV	0
Exon CV MAD	0
