Sample	hpne-r1.bam
Mapping Rate	0.962895
Unique Rate of Mapped	1
Duplicate Rate of Mapped	0
Duplicate Rate of Mapped, excluding Globins	0
Base Mismatch	0.00290955
End 1 Mapping Rate	0.973334
End 2 Mapping Rate	0.952456
End 1 Mismatch Rate	0.00240444
End 2 Mismatch Rate	0.00342574
Expression Profiling Efficiency	0.797386
High Quality Rate	0
Exonic Rate	0.828113
Intronic Rate	0.0901713
Intergenic Rate	0.0202472
Intragenic Rate	0.918284
Ambiguous Alignment Rate	0.0614686
High Quality Exonic Rate	-nan
High Quality Intronic Rate	-nan
High Quality Intergenic Rate	-nan
High Quality Intragenic Rate	-nan
High Quality Ambiguous Alignment Rate	-nan
Discard Rate	0
rRNA Rate	0.00794934
Chimeric Alignment Rate	0
End 1 Sense Rate	0.501808
End 2 Sense Rate	0.502749
Avg. Splits per Read	0.560224
Alternative Alignments	1811887
Chimeric Reads	100510
Duplicate Reads	0
End 1 Antisense	10024079
End 2 Antisense	9790769
End 1 Bases	3327697050
End 2 Bases	3256318200
End 1 Mapped Reads	22184647
End 2 Mapped Reads	21708788
End 1 Mismatches	8001258
End 2 Mismatches	11155294
End 1 Sense	10096856
End 2 Sense	9899005
Exonic Reads	36348721
Failed Vendor QC	0
High Quality Reads	0
Intergenic Reads	888718
Intragenic Reads	40306649
Ambiguous Reads	2698068
Intronic Reads	3957928
Low Mapping Quality	45584866
Low Quality Reads	43893435
Mapped Duplicate Reads	0
Mapped Reads	43893435
Mapped Unique Reads	43893435
Mismatched Bases	19156552
Non-Globin Reads	43893429
Non-Globin Duplicate Reads	0
Reads excluded from exon counts	0
Reads used for Intron/Exon counts	43893435
rRNA Reads	348924
Total Bases	6584015250
Total Mapped Pairs	21375355
Total Reads	47396753
Unique Mapping, Vendor QC Passed Reads	45584866
Unpaired Reads	0
Read Length	150
Genes Detected	0
Estimated Library Complexity	0
Genes used in 3' bias	0
Mean 3' bias	0
Median 3' bias	0
3' bias Std	0
3' bias MAD_Std	0
3' Bias, 25th Percentile	0
3' Bias, 75th Percentile	0
Median of Avg Transcript Coverage	0
Median of Transcript Coverage Std	0
Median of Transcript Coverage CV	0
Median Exon CV	0
Exon CV MAD	0
