Module	Section	Sample Name	Source
HISAT2	all_sections	capan1-r1	/mnt/d/SK/data/ren-panc/rna-seq/aligned/capan1-r1.txt
HISAT2	all_sections	capan1-r2	/mnt/d/SK/data/ren-panc/rna-seq/aligned/capan1-r2.txt
HISAT2	all_sections	capan1-r3	/mnt/d/SK/data/ren-panc/rna-seq/aligned/capan1-r3.txt
HISAT2	all_sections	hpne-r1	/mnt/d/SK/data/ren-panc/rna-seq/aligned/hpne-r1.txt
HISAT2	all_sections	hpne-r2	/mnt/d/SK/data/ren-panc/rna-seq/aligned/hpne-r2.txt
HISAT2	all_sections	hpne-r3	/mnt/d/SK/data/ren-panc/rna-seq/aligned/hpne-r3.txt
HISAT2	all_sections	panc1-r1	/mnt/d/SK/data/ren-panc/rna-seq/aligned/panc1-r1.txt
HISAT2	all_sections	panc1-r2	/mnt/d/SK/data/ren-panc/rna-seq/aligned/panc1-r2.txt
HISAT2	all_sections	panc1-r3	/mnt/d/SK/data/ren-panc/rna-seq/aligned/panc1-r3.txt
RNA-SeQC	v2	capan1-r1	/home/sk_ounce/project/QC/Ren_2021/RNA-seq/Post-align/capan1-r1.bam.metrics.tsv
RNA-SeQC	v2	capan1-r2	/home/sk_ounce/project/QC/Ren_2021/RNA-seq/Post-align/capan1-r2.bam.metrics.tsv
RNA-SeQC	v2	capan1-r3	/home/sk_ounce/project/QC/Ren_2021/RNA-seq/Post-align/capan1-r3.bam.metrics.tsv
RNA-SeQC	v2	hpne-r1	/home/sk_ounce/project/QC/Ren_2021/RNA-seq/Post-align/hpne-r1.bam.metrics.tsv
RNA-SeQC	v2	hpne-r2	/home/sk_ounce/project/QC/Ren_2021/RNA-seq/Post-align/hpne-r2.bam.metrics.tsv
RNA-SeQC	v2	hpne-r3	/home/sk_ounce/project/QC/Ren_2021/RNA-seq/Post-align/hpne-r3.bam.metrics.tsv
RNA-SeQC	v2	panc1-r1	/home/sk_ounce/project/QC/Ren_2021/RNA-seq/Post-align/panc1-r1.bam.metrics.tsv
RNA-SeQC	v2	panc1-r2	/home/sk_ounce/project/QC/Ren_2021/RNA-seq/Post-align/panc1-r2.bam.metrics.tsv
RNA-SeQC	v2	panc1-r3	/home/sk_ounce/project/QC/Ren_2021/RNA-seq/Post-align/panc1-r3.bam.metrics.tsv
