Sample	panc1-r1.bam
Mapping Rate	0.964076
Unique Rate of Mapped	1
Duplicate Rate of Mapped	0
Duplicate Rate of Mapped, excluding Globins	0
Base Mismatch	0.00232731
End 1 Mapping Rate	0.972672
End 2 Mapping Rate	0.95548
End 1 Mismatch Rate	0.00182879
End 2 Mismatch Rate	0.0028348
Expression Profiling Efficiency	0.797993
High Quality Rate	0
Exonic Rate	0.827728
Intronic Rate	0.0872399
Intergenic Rate	0.0191371
Intragenic Rate	0.914968
Ambiguous Alignment Rate	0.0658948
High Quality Exonic Rate	-nan
High Quality Intronic Rate	-nan
High Quality Intergenic Rate	-nan
High Quality Intragenic Rate	-nan
High Quality Ambiguous Alignment Rate	-nan
Discard Rate	0
rRNA Rate	0.00342073
Chimeric Alignment Rate	0
End 1 Sense Rate	0.501331
End 2 Sense Rate	0.502007
Avg. Splits per Read	0.592621
Alternative Alignments	1860388
Chimeric Reads	105012
Duplicate Reads	0
End 1 Antisense	10532327
End 2 Antisense	10332481
End 1 Bases	3479483100
End 2 Bases	3417983250
End 1 Mapped Reads	23196554
End 2 Mapped Reads	22786555
End 1 Mismatches	6363242
End 2 Mismatches	9689299
End 1 Sense	10588543
End 2 Sense	10415759
Exonic Reads	38061518
Failed Vendor QC	0
High Quality Reads	0
Intergenic Reads	879982
Intragenic Reads	42073078
Ambiguous Reads	3030049
Intronic Reads	4011560
Low Mapping Quality	47696560
Low Quality Reads	45983109
Mapped Duplicate Reads	0
Mapped Reads	45983109
Mapped Unique Reads	45983109
Mismatched Bases	16052541
Non-Globin Reads	45982873
Non-Globin Duplicate Reads	0
Reads excluded from exon counts	0
Reads used for Intron/Exon counts	45983109
rRNA Reads	157296
Total Bases	6897466350
Total Mapped Pairs	22487871
Total Reads	49556948
Unique Mapping, Vendor QC Passed Reads	47696560
Unpaired Reads	0
Read Length	150
Genes Detected	0
Estimated Library Complexity	0
Genes used in 3' bias	0
Mean 3' bias	0
Median 3' bias	0
3' bias Std	0
3' bias MAD_Std	0
3' Bias, 25th Percentile	0
3' Bias, 75th Percentile	0
Median of Avg Transcript Coverage	0
Median of Transcript Coverage Std	0
Median of Transcript Coverage CV	0
Median Exon CV	0
Exon CV MAD	0
