Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
786-M1A-input-1	7.76078243933614	39.0	50.0	0.0	83741535.0
786-M1A-input-2	5.413720903365586	40.0	50.0	0.0	62201792.0
786-M1A-input-3	18.07740174342888	40.0	50.0	10.0	34473586.0
786-M1A-k27ac-1	10.094603524233591	45.0	49.0	0.0	65000832.0
786-M1A-k27ac-2	13.876495350295613	47.0	49.0	0.0	56555071.0
786-O-input-1	5.283619799802324	39.0	50.0	0.0	45232736.0
786-O-input-2	5.461836085410184	40.0	50.0	0.0	77864161.0
786-O-input-3	20.0770389866083	40.0	50.0	10.0	44713175.0
786-O-k27ac-1	10.006853015794718	50.0	49.0	9.090909090909092	47678382.0
786-O-k27ac-2	11.89214624762387	47.0	49.0	0.0	47673783.0
OS-LM1-input-1	5.2600523340126415	39.0	50.0	0.0	57672347.0
OS-LM1-input-2	5.346957179883134	40.0	50.0	0.0	47063710.0
OS-LM1-k27ac-1	13.745520413239149	45.0	49.0	0.0	51363524.0
OS-LM1-k27ac-2	23.517340667950066	47.0	49.0	0.0	52685076.0
OS-RC2-input-1	5.770244019018875	39.0	50.0	0.0	92399255.0
OS-RC2-input-2	5.327128072919464	40.0	50.0	0.0	72566138.0
OS-RC2-k27ac-1	11.726190860948009	44.0	49.0	0.0	45588557.0
OS-RC2-k27ac-2	18.434107416253127	47.0	49.0	0.0	49613445.0
