Module	Section	Sample Name	Source
FastQC	all_sections	786-M1A-input-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/786-M1A-input-1_fastqc.zip
FastQC	all_sections	786-M1A-input-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/786-M1A-input-2_fastqc.zip
FastQC	all_sections	786-M1A-input-3	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/786-M1A-input-3_fastqc.zip
FastQC	all_sections	786-M1A-k27ac-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/786-M1A-k27ac-1_fastqc.zip
FastQC	all_sections	786-M1A-k27ac-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/786-M1A-k27ac-2_fastqc.zip
FastQC	all_sections	786-O-input-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/786-O-input-1_fastqc.zip
FastQC	all_sections	786-O-input-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/786-O-input-2_fastqc.zip
FastQC	all_sections	786-O-input-3	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/786-O-input-3_fastqc.zip
FastQC	all_sections	786-O-k27ac-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/786-O-k27ac-1_fastqc.zip
FastQC	all_sections	786-O-k27ac-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/786-O-k27ac-2_fastqc.zip
FastQC	all_sections	OS-LM1-input-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/OS-LM1-input-1_fastqc.zip
FastQC	all_sections	OS-LM1-input-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/OS-LM1-input-2_fastqc.zip
FastQC	all_sections	OS-LM1-k27ac-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/OS-LM1-k27ac-1_fastqc.zip
FastQC	all_sections	OS-LM1-k27ac-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/OS-LM1-k27ac-2_fastqc.zip
FastQC	all_sections	OS-RC2-input-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/OS-RC2-input-1_fastqc.zip
FastQC	all_sections	OS-RC2-input-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/OS-RC2-input-2_fastqc.zip
FastQC	all_sections	OS-RC2-k27ac-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/OS-RC2-k27ac-1_fastqc.zip
FastQC	all_sections	OS-RC2-k27ac-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Pre-align/OS-RC2-k27ac-2_fastqc.zip
