Sample	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
786-M1A-input-1	7.097157852576359	39.0	49.97162915277885	0.0	83134634.0
786-M1A-input-2	5.382464891897229	40.0	49.96149898086105	0.0	62171601.0
786-M1A-input-3	15.622500027230444	40.0	49.84254644605307	0.0	33855514.0
786-M1A-k27ac-1	9.833882007640852	45.0	48.65206633647485	0.0	64982229.0
786-M1A-k27ac-2	12.21714255074194	47.0	48.66924924269094	0.0	56531411.0
786-O-input-1	5.154984790928651	39.0	49.97270509071726	0.0	45170511.0
786-O-input-2	5.4351359417051555	40.0	49.96198531383571	0.0	77828763.0
786-O-input-3	17.761926608225437	40.0	49.849633564135175	0.0	44041677.0
786-O-k27ac-1	9.50462803322813	50.0	47.955438207756075	9.090909090909092	47661548.0
786-O-k27ac-2	10.39001753556552	47.0	48.66285699774929	0.0	47649285.0
OS-LM1-input-1	5.209203325141345	39.0	49.97133716725182	0.0	57636941.0
OS-LM1-input-2	5.325098520985634	40.0	49.96186839379738	0.0	47043573.0
OS-LM1-k27ac-1	12.176276201524075	45.0	48.70038922228866	0.0	51347265.0
OS-LM1-k27ac-2	20.846690259435846	47.0	48.67968547738319	0.0	52662286.0
OS-RC2-input-1	5.71918806675103	39.0	49.9717892677924	0.0	92334647.0
OS-RC2-input-2	5.2932884436556265	40.0	49.96251924251751	0.0	72532739.0
OS-RC2-k27ac-1	10.691938271165753	44.0	48.696167996987235	0.0	45574103.0
OS-RC2-k27ac-2	16.60762687985465	47.0	48.67323564690082	0.0	49593035.0
