Module	Section	Sample Name	Source
FastQC (trimmed)	all_sections	786-M1A-input-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/786-M1A-input-1_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	786-M1A-input-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/786-M1A-input-2_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	786-M1A-input-3	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/786-M1A-input-3_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	786-M1A-k27ac-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/786-M1A-k27ac-1_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	786-M1A-k27ac-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/786-M1A-k27ac-2_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	786-O-input-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/786-O-input-1_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	786-O-input-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/786-O-input-2_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	786-O-input-3	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/786-O-input-3_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	786-O-k27ac-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/786-O-k27ac-1_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	786-O-k27ac-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/786-O-k27ac-2_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	OS-LM1-input-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/OS-LM1-input-1_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	OS-LM1-input-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/OS-LM1-input-2_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	OS-LM1-k27ac-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/OS-LM1-k27ac-1_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	OS-LM1-k27ac-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/OS-LM1-k27ac-2_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	OS-RC2-input-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/OS-RC2-input-1_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	OS-RC2-input-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/OS-RC2-input-2_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	OS-RC2-k27ac-1	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/OS-RC2-k27ac-1_trimmed_fastqc.zip
FastQC (trimmed)	all_sections	OS-RC2-k27ac-2	/home/sk_ounce/project/QC/Rod_rcc/ChIP-seq/Trimmed/OS-RC2-k27ac-2_trimmed_fastqc.zip
