Sample	RNA-Seq_786-M1A-1_trimmed
Mapping Rate	0.986027
Unique Rate of Mapped	1
Duplicate Rate of Mapped	0
Duplicate Rate of Mapped, excluding Globins	0
Base Mismatch	0.00121885
End 1 Mapping Rate	0
End 2 Mapping Rate	0
End 1 Mismatch Rate	-nan
End 2 Mismatch Rate	-nan
Expression Profiling Efficiency	0.835218
High Quality Rate	0
Exonic Rate	0.847054
Intronic Rate	0.0958412
Intergenic Rate	0.035777
Intragenic Rate	0.942895
Ambiguous Alignment Rate	0.0213283
High Quality Exonic Rate	-nan
High Quality Intronic Rate	-nan
High Quality Intergenic Rate	-nan
High Quality Intragenic Rate	-nan
High Quality Ambiguous Alignment Rate	-nan
Discard Rate	0
rRNA Rate	0.0103953
Chimeric Alignment Rate	0
End 1 Sense Rate	-nan
End 2 Sense Rate	-nan
Avg. Splits per Read	0.178343
Alternative Alignments	14140035
Chimeric Reads	0
Duplicate Reads	0
End 1 Antisense	0
End 2 Antisense	0
End 1 Bases	0
End 2 Bases	0
End 1 Mapped Reads	0
End 2 Mapped Reads	0
End 1 Mismatches	0
End 2 Mismatches	0
End 1 Sense	0
End 2 Sense	0
Exonic Reads	51770934
Failed Vendor QC	0
High Quality Reads	0
Intergenic Reads	2186647
Intragenic Reads	57628635
Ambiguous Reads	1303559
Intronic Reads	5857701
Low Mapping Quality	61984946
Low Quality Reads	61118841
Mapped Duplicate Reads	0
Mapped Reads	61118841
Mapped Unique Reads	61118841
Mismatched Bases	3709297
Non-Globin Reads	61118839
Non-Globin Duplicate Reads	0
Reads excluded from exon counts	0
Reads used for Intron/Exon counts	61118841
rRNA Reads	635349
Total Bases	3043281594
Total Mapped Pairs	0
Total Reads	76124981
Unique Mapping, Vendor QC Passed Reads	61984946
Unpaired Reads	61984946
Read Length	50
Genes Detected	0
Estimated Library Complexity	0
Genes used in 3' bias	0
Mean 3' bias	0
Median 3' bias	0
3' bias Std	0
3' bias MAD_Std	0
3' Bias, 25th Percentile	0
3' Bias, 75th Percentile	0
Median of Avg Transcript Coverage	0
Median of Transcript Coverage Std	0
Median of Transcript Coverage CV	0
Median Exon CV	0
Exon CV MAD	0
