Module	Section	Sample Name	Source
HISAT2	all_sections	RNA-Seq_786-M1A-1	/mnt/d/SK/data/rod-rcc/rna-seq/aligned/RNA-Seq_786-M1A-1_trimmed.txt
HISAT2	all_sections	RNA-Seq_786-M1A-2	/mnt/d/SK/data/rod-rcc/rna-seq/aligned/RNA-Seq_786-M1A-2_trimmed.txt
HISAT2	all_sections	RNA-Seq_786-O-1	/mnt/d/SK/data/rod-rcc/rna-seq/aligned/RNA-Seq_786-O-1_trimmed.txt
HISAT2	all_sections	RNA-Seq_786-O-2	/mnt/d/SK/data/rod-rcc/rna-seq/aligned/RNA-Seq_786-O-2_trimmed.txt
HISAT2	all_sections	RNA-Seq_OS-LM1-1	/mnt/d/SK/data/rod-rcc/rna-seq/aligned/RNA-Seq_OS-LM1-1_trimmed.txt
HISAT2	all_sections	RNA-Seq_OS-LM1-2	/mnt/d/SK/data/rod-rcc/rna-seq/aligned/RNA-Seq_OS-LM1-2_trimmed.txt
HISAT2	all_sections	RNA-Seq_OS-RC2_TGL-1	/mnt/d/SK/data/rod-rcc/rna-seq/aligned/RNA-Seq_OS-RC2_TGL-1_trimmed.txt
HISAT2	all_sections	RNA-Seq_OS-RC2_TGL-2	/mnt/d/SK/data/rod-rcc/rna-seq/aligned/RNA-Seq_OS-RC2_TGL-2_trimmed.txt
RNA-SeQC	v2	RNA-Seq_786-M1A-1_trimmed.metrics	/home/sk_ounce/project/QC/Rod_rcc/RNA-seq/Post-align/RNA-Seq_786-M1A-1_trimmed.metrics.tsv
RNA-SeQC	v2	RNA-Seq_786-M1A-2_trimmed.metrics	/home/sk_ounce/project/QC/Rod_rcc/RNA-seq/Post-align/RNA-Seq_786-M1A-2_trimmed.metrics.tsv
RNA-SeQC	v2	RNA-Seq_786-O-1_trimmed.metrics	/home/sk_ounce/project/QC/Rod_rcc/RNA-seq/Post-align/RNA-Seq_786-O-1_trimmed.metrics.tsv
RNA-SeQC	v2	RNA-Seq_786-O-2_trimmed.metrics	/home/sk_ounce/project/QC/Rod_rcc/RNA-seq/Post-align/RNA-Seq_786-O-2_trimmed.metrics.tsv
RNA-SeQC	v2	RNA-Seq_OS-LM1-1_trimmed.metrics	/home/sk_ounce/project/QC/Rod_rcc/RNA-seq/Post-align/RNA-Seq_OS-LM1-1_trimmed.metrics.tsv
RNA-SeQC	v2	RNA-Seq_OS-LM1-2_trimmed.metrics	/home/sk_ounce/project/QC/Rod_rcc/RNA-seq/Post-align/RNA-Seq_OS-LM1-2_trimmed.metrics.tsv
RNA-SeQC	v2	RNA-Seq_OS-RC2_TGL-1_trimmed.metrics	/home/sk_ounce/project/QC/Rod_rcc/RNA-seq/Post-align/RNA-Seq_OS-RC2_TGL-1_trimmed.metrics.tsv
RNA-SeQC	v2	RNA-Seq_OS-RC2_TGL-2_trimmed.metrics	/home/sk_ounce/project/QC/Rod_rcc/RNA-seq/Post-align/RNA-Seq_OS-RC2_TGL-2_trimmed.metrics.tsv
